epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.861,1.31685,1.30204,1.69848,0.82213,0.77926,0.8134,0.61549,0.85721,1.09055,1.30018,0.000326389,0.000326389,0.000326389
2,151.409,1.26725,1.18819,1.63473,0.86653,0.56008,0.63945,0.52897,0.76054,0.88974,1.26435,0.000637951,0.000637951,0.000637951
3,234.878,1.24091,1.16932,1.60764,0.86285,0.52348,0.58269,0.46039,0.77925,0.92818,1.24913,0.000927514,0.000927514,0.000927514
4,321.583,1.1832,1.11608,1.55914,0.87122,0.65006,0.68521,0.56437,0.70397,0.85847,1.19664,0.000901,0.000901,0.000901
5,412.953,1.11536,1.04361,1.49578,0.62347,0.41013,0.36415,0.31318,0.70038,0.89914,1.18513,0.000868,0.000868,0.000868
6,520.418,1.07458,1.00775,1.45853,0.83343,0.61179,0.63868,0.55124,0.64642,0.84166,1.15129,0.000835,0.000835,0.000835
7,629.641,1.03692,0.97664,1.42573,0.88599,0.62638,0.68664,0.57579,0.65595,0.79061,1.11781,0.000802,0.000802,0.000802
8,730.473,1.00196,0.94764,1.38089,0.59262,0.71997,0.66354,0.58674,0.58543,0.79859,1.09989,0.000769,0.000769,0.000769
9,838.002,0.97328,0.91954,1.36304,0.73746,0.8051,0.80593,0.69994,0.53218,0.7561,1.05186,0.000736,0.000736,0.000736
10,945.722,0.91069,0.87551,1.31284,0.64591,0.59975,0.60454,0.52991,0.53527,0.73017,1.04336,0.000703,0.000703,0.000703
11,1039.47,0.90287,0.85715,1.30658,0.67194,0.7682,0.78177,0.68721,0.50881,0.67478,1.0317,0.00067,0.00067,0.00067
12,1144.09,0.89474,0.85134,1.29033,0.68862,0.72977,0.7483,0.66842,0.50591,0.67586,1.03522,0.000637,0.000637,0.000637
13,1248.44,0.86786,0.83021,1.27001,0.65691,0.81531,0.75754,0.67727,0.46151,0.64246,1.00443,0.000604,0.000604,0.000604
14,1363.44,0.84593,0.82311,1.25524,0.66671,0.71422,0.74094,0.67151,0.46362,0.66676,0.9832,0.000571,0.000571,0.000571
15,1468.33,0.81917,0.78269,1.24003,0.92567,0.73804,0.83491,0.76008,0.46294,0.6447,0.9776,0.000538,0.000538,0.000538
16,1584.36,0.81111,0.77646,1.2245,0.62634,0.76558,0.75267,0.66299,0.51083,0.66942,0.98817,0.000505,0.000505,0.000505
17,1714.31,0.79138,0.75484,1.20502,0.73062,0.71479,0.72315,0.67632,0.42246,0.61532,0.97515,0.000472,0.000472,0.000472
18,1849.63,0.79053,0.76213,1.21345,0.92303,0.73966,0.84911,0.75455,0.47628,0.61308,0.96742,0.000439,0.000439,0.000439
19,1964.75,0.77643,0.75329,1.20499,0.70734,0.84255,0.82937,0.74725,0.46193,0.61421,0.97937,0.000406,0.000406,0.000406
20,2079.44,0.75845,0.73486,1.18531,0.84856,0.78991,0.83578,0.75015,0.48752,0.63922,0.97856,0.000373,0.000373,0.000373
21,2234.81,0.65735,0.73395,1.12945,0.68215,0.79484,0.80801,0.71002,0.53419,0.63953,0.97427,0.00034,0.00034,0.00034
22,2383.81,0.6135,0.67398,1.10017,0.72454,0.84273,0.84376,0.77548,0.40568,0.61738,0.91024,0.000307,0.000307,0.000307
23,2511.97,0.59268,0.6572,1.1009,0.91525,0.73671,0.83502,0.76345,0.37822,0.59665,0.91014,0.000274,0.000274,0.000274
24,2641.34,0.57623,0.63974,1.07013,0.71739,0.85265,0.84109,0.78149,0.36272,0.5583,0.90528,0.000241,0.000241,0.000241
25,2773.84,0.5651,0.62776,1.07388,0.7477,0.84373,0.84781,0.77238,0.39722,0.55915,0.9199,0.000208,0.000208,0.000208
26,2887.99,0.55205,0.62254,1.05351,0.72687,0.8339,0.84044,0.77526,0.38253,0.54997,0.89845,0.000175,0.000175,0.000175
27,3009.3,0.53511,0.61591,1.05192,0.73024,0.83318,0.83788,0.77978,0.35502,0.54708,0.89941,0.000142,0.000142,0.000142
28,3124.2,0.53765,0.61348,1.04515,0.73655,0.84494,0.84519,0.78899,0.34026,0.53934,0.89473,0.000109,0.000109,0.000109
29,3250.05,0.51898,0.60072,1.03346,0.74476,0.84726,0.84554,0.77997,0.36748,0.54598,0.89524,7.6e-05,7.6e-05,7.6e-05
30,3386,0.50416,0.59713,1.02969,0.74813,0.84276,0.84798,0.79054,0.31849,0.52101,0.88793,4.3e-05,4.3e-05,4.3e-05
